  0 of 174 `blank.pdf`                     (  2353) 1 pages 0 color 0.001 sec, pass
  1 of 174 `legal_pages7_color3.pdf`       (  4722) 7 pages 3 color 0.002 sec, pass
  2 of 174 `cmyk.pdf`                      (  5555) 9 pages 6 color 0.002 sec, pass
  3 of 174 `convoluted_line.pdf`           (  6146) 1 pages 0 color 0.003 sec, pass
  4 of 174 `fonts_in_form_xobject.pdf`     (  6744) 1 pages 0 color 0.004 sec, pass
  5 of 174 `WEIß_pages6_color4.pdf`        (  7450) 6 pages 4 color 0.003 sec, pass
  6 of 174 `SergueiOsokineProfile.pdf`     (  9629) 2 pages 1 color 0.007 sec, pass
  7 of 174 `lines.pdf`                     ( 10763) 20 pages 12 color 0.004 sec, pass
  8 of 174 `AnneMakauProfile.pdf`          ( 10788) 3 pages 1 color 0.006 sec, pass
  9 of 174 `lines_over_black.pdf`          ( 11047) 20 pages 0 color 0.006 sec, pass
 10 of 174 `lines_over_black.pdf.pdf`      ( 11061) 20 pages 0 color 0.005 sec, pass
 11 of 174 `English Report.pdf`            ( 11627) 16 pages 4 color 0.006 sec, pass
 12 of 174 `Physics practical.pdf`         ( 11627) 16 pages 4 color 0.003 sec, pass
 13 of 174 `NLP_Obesity_Annotation_Sheet.pdf`  ( 13839) 1 pages 0 color 0.008 sec, pass
 14 of 174 `ERTA Sunday fixture 2017 Winter.pdf`  ( 15047) 7 pages 6 color 0.016 sec, pass
 15 of 174 `202 moot.pdf`                  ( 15141) 2 pages 0 color 0.015 sec, pass
 16 of 174 `word_bmp.pdf`                  ( 15557) 1 pages 0 color 0.088 sec, pass
 17 of 174 `word_jpeg_grayscale.pdf`       ( 15627) 1 pages 0 color 0.102 sec, pass
 18 of 174 `warnock_camelot.pdf`           ( 16691) 6 pages 0 color 0.005 sec, pass
 19 of 174 `pdl.pdf`                       ( 18440) 1 pages 0 color 0.008 sec, pass
 20 of 174 `pre-algebra_translate.pdf`     ( 19450) 2 pages 2 color 0.009 sec, pass
 21 of 174 `twitter_advertiser_list.pdf`   ( 22642) 20 pages 20 color 0.021 sec, pass
 22 of 174 `Sunday 2016 team Fixtures.pdf`  ( 25161) 12 pages 11 color 0.032 sec, pass
 23 of 174 `Jedi.pdf`                      ( 25587) 1 pages 0 color 0.016 sec, fail
 24 of 174 `VI-TUTORIAL.pdf`               ( 26257) 10 pages 0 color 0.020 sec, pass
 25 of 174 `How to Accuse the Other Guy of Lying with Statistics.pdf`  ( 26553) 3 pages 0 color 0.016 sec, pass
 26 of 174 `chickerur.pdf`                 ( 26981) 9 pages 0 color 0.018 sec, pass
 27 of 174 `vitae.pdf`                     ( 29977) 4 pages 1 color 0.022 sec, pass
 28 of 174 `ACS4PartnerQuotes.pdf`         ( 30065) 2 pages 2 color 0.007 sec, pass
 29 of 174 `pdf00050.pdf`                  ( 33553) 11 pages 3 color 0.020 sec, pass
 30 of 174 `49-7441.pdf`                   ( 39064) 1 pages 1 color 0.008 sec, pass
 31 of 174 `dense2_lines.pdf`              ( 41144) 3 pages 3 color 0.077 sec, pass
 32 of 174 `rfc6962.txt.pdf`               ( 42139) 27 pages 0 color 0.013 sec, pass
 33 of 174 `ColourNaming.pdf`              ( 43913) 12 pages 0 color 0.093 sec, pass
 34 of 174 `000109.pdf`                    ( 47401) 2 pages 2 color 0.012 sec, pass
 35 of 174 `Notes on Noise Contrastive Estimation and Negative Sampling.pdf`  ( 50157) 4 pages 0 color 0.032 sec, pass
 36 of 174 `kernel_trick.pdf`              ( 50231) 3 pages 0 color 0.021 sec, pass
 37 of 174 `ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf`  ( 50360) 9 pages 0 color 0.046 sec, pass
 38 of 174 `Case_Study_-_Childrens_Medical_Group_Improving_Interoperability_Between_Practices.pdf`  ( 54767) 0 pages 0 color 0.006 sec, bad
 39 of 174 `A Sunshine - IEP.pdf`          ( 54977) 9 pages 9 color 0.052 sec, fail
 40 of 174 `jarvisspec02.pdf`              ( 55366) 5 pages 0 color 0.033 sec, pass
 41 of 174 `pedersen-i2b2-2008.pdf`        ( 56816) 5 pages 0 color 0.061 sec, pass
 42 of 174 `hgff.pdf`                      ( 61802) 1 pages 1 color 0.013 sec, pass
 43 of 174 `killer_modelling.pdf`          ( 61854) 5 pages 5 color 0.051 sec, pass
 44 of 174 `000009.pdf`                    ( 61939) 1 pages 1 color 0.017 sec, pass
 45 of 174 `android.pdf`                   ( 61939) 1 pages 1 color 0.021 sec, pass
 46 of 174 `holmes-deconstruction-ebhc-06.pdf`  ( 66294) 7 pages 0 color 0.016 sec, pass
 47 of 174 `2017 Student Residential Address Collection.pdf`  ( 67585) 1 pages 1 color 0.292 sec, fail
 48 of 174 `unix-vi-editor.pdf`            ( 69358) 8 pages 3 color 0.083 sec, pass
 49 of 174 `10.235.1.2_SMTP_via_LDAP_05-16-2016_09-43-48.pdf.pdf`  ( 71038) 3 pages 1 color 0.226 sec, pass
 50 of 174 `gibbscrf3.pdf`                 ( 72667) 8 pages 0 color 0.086 sec, pass
 51 of 174 `MS Activities Term 3 2017 Letter.pdf`  ( 73658) 3 pages 1 color 0.019 sec, pass
 52 of 174 `symbiosis-provocation.pdf`     ( 74451) 8 pages 0 color 0.020 sec, pass
 53 of 174 `Whitepaper-XMP-metadata-in-PDFlib-products.pdf`  ( 74886) 4 pages 4 color 0.025 sec, pass
 54 of 174 `salsa20_spec.pdf`              ( 75332) 9 pages 0 color 0.074 sec, pass
 55 of 174 `2016 FOB Season Launch Breakfast.pdf`  ( 75807) 1 pages 1 color 0.015 sec, pass
 56 of 174 `Kahng_DAC_98.pdf`              ( 75912) 6 pages 0 color 0.099 sec, pass
 57 of 174 `docs.pdf`                      ( 77972) 1 pages 1 color 0.017 sec, pass
 58 of 174 `Exam timetable letter 2016.pdf`  ( 79048) 2 pages 2 color 0.030 sec, pass
 59 of 174 `unlexicalized-parsing.pdf`     ( 82601) 8 pages 0 color 0.080 sec, pass
 60 of 174 `4e.pdf`                        ( 84275) 5 pages 1 color 0.057 sec, pass
 61 of 174 `Ten ways to promote the natural genius in your child.pdf`  ( 85751) 2 pages 1 color 0.025 sec, pass
 62 of 174 `jonathan_mayer.pdf`            ( 86091) 2 pages 0 color 0.021 sec, pass
 63 of 174 `lec10.pdf`                     ( 87237) 4 pages 0 color 0.023 sec, pass
 64 of 174 `midtermF13secondSols.pdf`      ( 88761) 7 pages 0 color 0.025 sec, pass
 65 of 174 `keys2.pdf`                     ( 90070) 9 pages 0 color 0.022 sec, pass
 66 of 174 `cv.pdf`                        ( 92349) 10 pages 0 color 0.061 sec, pass
 67 of 174 `lecture16.pdf`                 ( 93322) 4 pages 2 color 0.023 sec, pass
 68 of 174 `pcfgs.pdf`                     ( 93775) 18 pages 0 color 0.083 sec, pass
 69 of 174 `multi_string_search.pdf`       ( 94054) 22 pages 0 color 0.048 sec, pass
 70 of 174 `lexpcfgs.pdf`                  ( 95903) 22 pages 0 color 0.078 sec, pass
