fileName,pageNum,xobjName,length,filter1,filter2,colorSpace
49-7441.pdf,1,Im12,4112,DCTDecode,,ICCBased
word_bmp.pdf,1,R8,0,DCTDecode,,DeviceRGB
word_jpeg_grayscale.pdf,1,R8,0,DCTDecode,,DeviceRGB
pdl.pdf,1,Im1,0,DCTDecode,,DeviceRGB
pre-algebra_translate.pdf,1,Image1,0,DCTDecode,,DeviceRGB
pre-algebra_translate.pdf,1,Image2,0,LZWDecode,,Indexed
pre-algebra_translate.pdf,2,Image1,0,DCTDecode,,DeviceRGB
pre-algebra_translate.pdf,2,Image2,0,LZWDecode,,Indexed
Jedi.pdf,1,Im0,0,FlateDecode,,Indexed
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,1,Im1,0,DCTDecode,,DeviceRGB
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,2,Im1,0,DCTDecode,,DeviceRGB
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,3,Im1,0,DCTDecode,,DeviceRGB
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,4,Im1,0,DCTDecode,,DeviceRGB
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,5,Im1,0,DCTDecode,,DeviceRGB
ACFrOgCf6f4kzU-mNiolvkiOlADV6cnWfoWv_FZPB6kB4aBtGh68m8KVTc5q0t50Bian-2myr3AQvH0HLbHDFnyo3fY_BDudV1i3zI9i_g6S36lOesSvotIATPqvLF0= (1).pdf,6,Im1,0,DCTDecode,,DeviceRGB
